ticket,symbol,direction,strategy,entryPrice,exitPrice,entryTime,exitTime,sl,tp,volume,profit,durationMinutes,pips,riskReward
1,XAUUSD,sell,low,2643.94705,2670.38653,2023-11-01T02:40:00.000Z,2023-11-01T12:10:00.000Z,2670.38653,2564.62864,0.19,-502.35,570,-264.39,1.00
3,XAUUSD,sell,low,2677.34530,2704.11875,2023-11-01T20:40:00.000Z,2023-11-03T05:45:00.000Z,2704.11875,2597.02494,0.18,-481.92,1985,-267.73,1.00
2,XAUUSD,buy,low,2642.88776,2722.17439,2023-11-01T05:45:00.000Z,2023-11-03T11:45:00.000Z,2616.45888,2722.17439,0.19,1506.45,3240,792.87,3.00
4,XAUUSD,buy,low,2725.71303,2698.45590,2023-11-03T12:05:00.000Z,2023-11-03T17:55:00.000Z,2698.45590,2807.48443,0.19,-517.89,350,-272.57,1.00
6,XAUUSD,buy,low,2733.87464,2706.53590,2023-11-04T06:20:00.000Z,2023-11-04T18:35:00.000Z,2706.53590,2815.89088,0.18,-492.10,735,-273.39,1.00
7,XAUUSD,buy,low,2703.26447,2676.23182,2023-11-04T18:45:00.000Z,2023-11-05T23:15:00.000Z,2676.23182,2784.36240,0.18,-486.59,1710,-270.33,1.00
5,XAUUSD,sell,low,2725.52953,2643.76364,2023-11-03T16:10:00.000Z,2023-11-08T18:05:00.000Z,2752.78482,2643.76364,0.19,1553.55,7315,817.66,3.00
8,XAUUSD,buy,low,2660.46845,2633.86376,2023-11-06T05:00:00.000Z,2023-11-08T19:10:00.000Z,2633.86376,2740.28250,0.17,-452.28,3730,-266.05,1.00
10,XAUUSD,buy,low,2650.40171,2623.89769,2023-11-09T07:30:00.000Z,2023-11-09T09:40:00.000Z,2623.89769,2729.91376,0.19,-503.58,130,-265.04,1.00
11,XAUUSD,buy,low,2609.02109,2582.93088,2023-11-09T10:10:00.000Z,2023-11-09T14:35:00.000Z,2582.93088,2687.29172,0.18,-469.62,265,-260.90,1.00
9,XAUUSD,sell,low,2641.24019,2562.00298,2023-11-08T18:15:00.000Z,2023-11-11T09:40:00.000Z,2667.65259,2562.00298,0.20,1584.74,3805,792.37,3.00
12,XAUUSD,buy,low,2585.49089,2559.63598,2023-11-09T14:45:00.000Z,2023-11-11T10:30:00.000Z,2559.63598,2663.05562,0.18,-465.39,2625,-258.55,1.00
13,XAUUSD,sell,low,2557.35728,2582.93085,2023-11-11T11:50:00.000Z,2023-11-11T22:50:00.000Z,2582.93085,2480.63656,0.20,-511.47,660,-255.74,1.00
14,XAUUSD,buy,low,2552.38290,2526.85907,2023-11-11T14:40:00.000Z,2023-11-13T02:40:00.000Z,2526.85907,2628.95438,0.20,-510.48,2160,-255.24,1.00
15,XAUUSD,sell,low,2582.83773,2505.35260,2023-11-12T16:55:00.000Z,2023-11-13T06:50:00.000Z,2608.66611,2505.35260,0.19,1472.22,835,774.85,3.00
17,XAUUSD,buy,low,2502.47920,2477.45440,2023-11-13T15:20:00.000Z,2023-11-14T07:50:00.000Z,2477.45440,2577.55357,0.21,-525.52,990,-250.25,1.00
16,XAUUSD,sell,low,2517.83602,2442.30094,2023-11-13T10:30:00.000Z,2023-11-15T09:50:00.000Z,2543.01438,2442.30094,0.21,1586.24,2840,755.35,3.00
18,XAUUSD,buy,low,2458.57480,2433.98905,2023-11-15T05:30:00.000Z,2023-11-15T11:10:00.000Z,2433.98905,2532.33204,0.21,-516.30,340,-245.86,1.00
20,XAUUSD,sell,low,2429.94738,2454.24685,2023-11-15T12:30:00.000Z,2023-11-15T17:45:00.000Z,2454.24685,2357.04896,0.23,-558.89,315,-242.99,1.00
19,XAUUSD,buy,low,2439.22380,2414.83156,2023-11-15T12:00:00.000Z,2023-11-16T01:55:00.000Z,2414.83156,2512.40051,0.23,-561.02,835,-243.92,1.00
22,XAUUSD,buy,low,2416.96881,2392.79912,2023-11-16T11:45:00.000Z,2023-11-16T17:50:00.000Z,2392.79912,2489.47787,0.21,-507.56,365,-241.70,1.00
21,XAUUSD,sell,low,2449.18436,2375.70883,2023-11-15T17:50:00.000Z,2023-11-17T01:10:00.000Z,2473.67621,2375.70883,0.22,1616.46,1880,734.76,3.00
23,XAUUSD,buy,low,2392.49969,2368.57469,2023-11-16T18:45:00.000Z,2023-11-17T01:35:00.000Z,2368.57469,2464.27468,0.20,-478.50,410,-239.25,1.00
