ticket,symbol,direction,strategy,entryPrice,exitPrice,entryTime,exitTime,sl,tp,volume,profit,durationMinutes,pips,riskReward
2,XAUUSD,sell,low,2638.22927,2664.61156,2023-11-01T00:40:00.000Z,2023-11-01T02:20:00.000Z,2664.61156,2559.08239,0.19,-501.26,100,-263.82,1.00
3,XAUUSD,sell,low,2652.83860,2679.36699,2023-11-01T04:25:00.000Z,2023-11-01T11:55:00.000Z,2679.36699,2573.25345,0.18,-477.51,450,-265.28,1.00
4,XAUUSD,sell,low,2675.26028,2702.01288,2023-11-01T12:00:00.000Z,2023-11-01T17:25:00.000Z,2702.01288,2595.00247,0.17,-454.79,325,-267.53,1.00
1,XAUUSD,buy,low,2639.71160,2718.90295,2023-11-01T00:35:00.000Z,2023-11-02T19:15:00.000Z,2613.31448,2718.90295,0.19,1504.64,2560,791.91,3.00
5,XAUUSD,sell,low,2700.38934,2727.39324,2023-11-01T17:30:00.000Z,2023-11-02T22:05:00.000Z,2727.39324,2619.37766,0.16,-432.06,1715,-270.04,1.00
7,XAUUSD,sell,low,2723.78231,2751.02013,2023-11-02T22:10:00.000Z,2023-11-03T00:20:00.000Z,2751.02013,2642.06884,0.18,-490.28,130,-272.38,1.00
8,XAUUSD,sell,low,2752.48175,2780.00657,2023-11-03T00:30:00.000Z,2023-11-03T16:40:00.000Z,2780.00657,2669.90730,0.17,-467.92,970,-275.25,1.00
6,XAUUSD,buy,low,2715.05722,2796.50894,2023-11-02T19:40:00.000Z,2023-11-03T20:50:00.000Z,2687.90665,2796.50894,0.19,1547.58,1510,814.52,3.00
10,XAUUSD,buy,low,2790.72189,2762.81467,2023-11-03T20:55:00.000Z,2023-11-04T03:55:00.000Z,2762.81467,2874.44355,0.18,-502.33,420,-279.07,1.00
9,XAUUSD,sell,low,2784.89997,2812.74897,2023-11-03T16:50:00.000Z,2023-11-05T16:50:00.000Z,2812.74897,2701.35297,0.16,-445.58,2880,-278.49,1.00
12,XAUUSD,sell,low,2779.67713,2807.47390,2023-11-06T04:25:00.000Z,2023-11-06T13:40:00.000Z,2807.47390,2696.28682,0.17,-472.55,555,-277.97,1.00
11,XAUUSD,buy,low,2779.96890,2752.16921,2023-11-04T16:10:00.000Z,2023-11-07T03:45:00.000Z,2752.16921,2863.36796,0.17,-472.59,3575,-278.00,1.00
14,XAUUSD,buy,low,2795.56604,2767.61038,2023-11-07T18:30:00.000Z,2023-11-07T20:05:00.000Z,2767.61038,2879.43302,0.15,-419.33,95,-279.56,1.00
15,XAUUSD,buy,low,2801.59002,2773.57412,2023-11-08T00:00:00.000Z,2023-11-08T01:55:00.000Z,2773.57412,2885.63772,0.14,-392.22,115,-280.16,1.00
13,XAUUSD,sell,low,2821.08974,2736.45705,2023-11-06T17:10:00.000Z,2023-11-08T17:25:00.000Z,2849.30064,2736.45705,0.16,1354.12,2895,846.33,3.00
16,XAUUSD,sell,low,2740.42564,2767.82989,2023-11-08T18:45:00.000Z,2023-11-08T23:30:00.000Z,2767.82989,2658.21287,0.16,-438.47,285,-274.04,1.00
18,XAUUSD,sell,low,2739.42071,2766.81492,2023-11-09T12:50:00.000Z,2023-11-10T12:55:00.000Z,2766.81492,2657.23809,0.15,-410.91,1445,-273.94,1.00
19,XAUUSD,sell,low,2768.00091,2795.68092,2023-11-10T13:00:00.000Z,2023-11-11T02:50:00.000Z,2795.68092,2684.96088,0.15,-415.20,830,-276.80,1.00
17,XAUUSD,buy,low,2737.54751,2819.67393,2023-11-08T20:10:00.000Z,2023-11-11T06:30:00.000Z,2710.17203,2819.67393,0.16,1314.02,3500,821.26,3.00
20,XAUUSD,sell,low,2793.99691,2821.93688,2023-11-11T03:30:00.000Z,2023-11-11T07:25:00.000Z,2821.93688,2710.17701,0.14,-391.16,235,-279.40,1.00
22,XAUUSD,sell,low,2819.94523,2848.14469,2023-11-11T07:30:00.000Z,2023-11-11T12:35:00.000Z,2848.14469,2735.34688,0.15,-422.99,305,-281.99,1.00
23,XAUUSD,sell,low,2856.95931,2885.52890,2023-11-11T13:00:00.000Z,2023-11-12T18:35:00.000Z,2885.52890,2771.25053,0.14,-399.97,1775,-285.70,1.00
21,XAUUSD,buy,low,2818.42927,2902.98215,2023-11-11T06:35:00.000Z,2023-11-13T06:15:00.000Z,2790.24497,2902.98215,0.16,1352.85,2860,845.53,3.00
24,XAUUSD,sell,low,2901.07379,2930.08453,2023-11-13T06:15:00.000Z,2023-11-14T02:25:00.000Z,2930.08453,2814.04157,0.16,-464.17,1210,-290.11,1.00
26,XAUUSD,sell,low,2927.32893,2956.60222,2023-11-14T02:30:00.000Z,2023-11-14T09:55:00.000Z,2956.60222,2839.50906,0.15,-439.10,445,-292.73,1.00
25,XAUUSD,buy,low,2903.60284,2874.56681,2023-11-13T06:25:00.000Z,2023-11-15T04:25:00.000Z,2874.56681,2990.71093,0.16,-464.58,2760,-290.36,1.00
27,XAUUSD,sell,low,2955.93987,2867.26167,2023-11-14T10:00:00.000Z,2023-11-15T10:45:00.000Z,2985.49927,2867.26167,0.14,1241.49,1485,886.78,3.00
28,XAUUSD,buy,low,2880.47636,2851.67160,2023-11-15T04:30:00.000Z,2023-11-15T14:45:00.000Z,2851.67160,2966.89065,0.13,-374.46,615,-288.05,1.00
30,XAUUSD,buy,low,2853.87850,2825.33972,2023-11-15T15:00:00.000Z,2023-11-16T02:25:00.000Z,2825.33972,2939.49486,0.15,-428.08,685,-285.39,1.00
31,XAUUSD,buy,low,2828.44910,2800.16461,2023-11-16T02:30:00.000Z,2023-11-16T17:20:00.000Z,2800.16461,2913.30257,0.14,-395.98,890,-282.84,1.00
29,XAUUSD,sell,low,2868.90001,2782.83301,2023-11-15T10:55:00.000Z,2023-11-17T01:40:00.000Z,2897.58901,2782.83301,0.16,1377.07,2325,860.67,3.00
33,XAUUSD,buy,low,2773.14648,2745.41502,2023-11-17T19:50:00.000Z,2023-11-17T21:30:00.000Z,2745.41502,2856.34088,0.16,-443.70,100,-277.31,1.00
34,XAUUSD,buy,low,2747.36741,2719.89374,2023-11-17T21:50:00.000Z,2023-11-18T12:20:00.000Z,2719.89374,2829.78843,0.16,-439.58,870,-274.74,1.00
35,XAUUSD,buy,low,2728.08484,2700.80399,2023-11-18T12:30:00.000Z,2023-11-18T18:35:00.000Z,2700.80399,2809.92738,0.15,-409.21,365,-272.81,1.00
32,XAUUSD,sell,low,2773.52697,2690.32116,2023-11-17T09:15:00.000Z,2023-11-19T00:30:00.000Z,2801.26224,2690.32116,0.16,1331.29,2355,832.06,3.00
36,XAUUSD,buy,low,2703.18852,2676.15663,2023-11-18T18:50:00.000Z,2023-11-19T02:10:00.000Z,2676.15663,2784.28418,0.14,-378.45,440,-270.32,1.00
38,XAUUSD,buy,low,2674.91135,2648.16224,2023-11-19T02:35:00.000Z,2023-11-19T12:45:00.000Z,2648.16224,2755.15869,0.16,-427.99,610,-267.49,1.00
39,XAUUSD,buy,low,2665.84794,2639.18946,2023-11-19T13:40:00.000Z,2023-11-20T01:40:00.000Z,2639.18946,2745.82338,0.16,-426.54,720,-266.58,1.00
