ticket,symbol,direction,strategy,entryPrice,exitPrice,entryTime,exitTime,sl,tp,volume,profit,durationMinutes,pips,riskReward
2,XAUUSD,buy,low,2640.47179,2706.48359,2024-05-01T03:23:00.000Z,2024-05-01T08:20:00.000Z,2614.06708,2706.48359,0.19,1254.22,297,660.12,2.50
3,XAUUSD,buy,low,2640.44134,2706.45238,2024-05-01T03:24:00.000Z,2024-05-01T08:20:00.000Z,2614.03693,2706.45238,0.19,1254.21,296,660.11,2.50
1,XAUUSD,buy,low,2641.15365,2707.18249,2024-05-01T03:22:00.000Z,2024-05-01T08:21:00.000Z,2614.74211,2707.18249,0.19,1254.55,299,660.29,2.50
8,XAUUSD,sell,low,2684.53623,2711.38159,2024-05-01T09:16:00.000Z,2024-05-01T10:07:00.000Z,2711.38159,2617.42282,0.26,-697.98,51,-268.45,1.00
4,XAUUSD,buy,low,2704.00961,2676.96951,2024-05-01T08:21:00.000Z,2024-05-01T10:34:00.000Z,2676.96951,2771.60985,0.25,-676.00,133,-270.40,1.00
5,XAUUSD,buy,low,2704.39418,2677.35024,2024-05-01T08:22:00.000Z,2024-05-01T10:34:00.000Z,2677.35024,2772.00403,0.25,-676.10,132,-270.44,1.00
6,XAUUSD,buy,low,2703.86230,2676.82368,2024-05-01T08:23:00.000Z,2024-05-01T10:34:00.000Z,2676.82368,2771.45886,0.25,-675.97,131,-270.39,1.00
10,XAUUSD,sell,low,2673.54932,2700.28481,2024-05-01T10:35:00.000Z,2024-05-01T11:54:00.000Z,2700.28481,2606.71059,0.21,-561.45,79,-267.35,1.00
9,XAUUSD,sell,low,2684.52291,2711.36814,2024-05-01T10:30:00.000Z,2024-05-01T12:09:00.000Z,2711.36814,2617.40984,0.24,-644.29,99,-268.45,1.00
7,XAUUSD,sell,low,2686.77269,2713.64041,2024-05-01T09:15:00.000Z,2024-05-01T12:28:00.000Z,2713.64041,2619.60337,0.26,-698.56,193,-268.68,1.00
13,XAUUSD,buy,low,2690.33250,2663.42918,2024-05-01T11:55:00.000Z,2024-05-01T13:10:00.000Z,2663.42918,2757.59082,0.19,-511.16,75,-269.03,1.00
12,XAUUSD,buy,low,2681.90124,2655.08223,2024-05-01T10:37:00.000Z,2024-05-01T13:20:00.000Z,2655.08223,2748.94877,0.21,-563.20,163,-268.19,1.00
11,XAUUSD,buy,low,2677.11645,2650.34529,2024-05-01T10:36:00.000Z,2024-05-01T13:22:00.000Z,2650.34529,2744.04436,0.21,-562.19,166,-267.71,1.00
