ticket,symbol,direction,strategy,entryPrice,exitPrice,entryTime,exitTime,sl,tp,volume,profit,durationMinutes,pips,riskReward
1,XAUUSD,buy,low,4363.28000,4319.64720,2025-10-20T19:00:00.000Z,2025-10-21T04:30:00.000Z,4319.64720,4450.54560,0.11,-479.96,570,-436.33,1.00
3,XAUUSD,buy,low,4323.56000,4280.32440,2025-10-21T04:45:00.000Z,2025-10-21T07:00:00.000Z,4280.32440,4410.03120,0.11,-475.59,135,-432.36,1.00
2,XAUUSD,sell,low,4357.07000,4269.92860,2025-10-20T19:45:00.000Z,2025-10-21T07:05:00.000Z,4400.64070,4269.92860,0.11,958.56,680,871.41,2.00
5,XAUUSD,buy,low,4265.11000,4222.45890,2025-10-21T07:15:00.000Z,2025-10-21T11:10:00.000Z,4222.45890,4350.41220,0.12,-511.81,235,-426.51,1.00
6,XAUUSD,buy,low,4230.63000,4188.32370,2025-10-21T11:15:00.000Z,2025-10-21T12:45:00.000Z,4188.32370,4315.24260,0.11,-465.37,90,-423.06,1.00
4,XAUUSD,sell,low,4244.82000,4159.92360,2025-10-21T07:10:00.000Z,2025-10-21T13:20:00.000Z,4287.26820,4159.92360,0.12,1018.76,370,848.96,2.00
7,XAUUSD,buy,low,4175.22000,4133.46780,2025-10-21T13:00:00.000Z,2025-10-21T13:25:00.000Z,4133.46780,4258.72440,0.11,-459.27,25,-417.52,1.00
9,XAUUSD,buy,low,4113.42000,4072.28580,2025-10-21T13:45:00.000Z,2025-10-21T23:00:00.000Z,4072.28580,4195.68840,0.12,-493.61,555,-411.34,1.00
8,XAUUSD,sell,low,4136.59000,4053.85820,2025-10-21T13:25:00.000Z,2025-10-21T23:05:00.000Z,4177.95590,4053.85820,0.12,992.78,580,827.32,2.00
10,XAUUSD,sell,low,4037.02000,4077.39020,2025-10-21T23:10:00.000Z,2025-10-21T23:35:00.000Z,4077.39020,3956.27960,0.12,-484.44,25,-403.70,1.00
12,XAUUSD,sell,low,4074.93000,4115.67930,2025-10-21T23:55:00.000Z,2025-10-22T00:10:00.000Z,4115.67930,3993.43140,0.12,-488.99,15,-407.49,1.00
11,XAUUSD,buy,low,4053.07000,4134.13140,2025-10-21T23:15:00.000Z,2025-10-22T02:35:00.000Z,4012.53930,4134.13140,0.12,972.74,200,810.61,2.00
13,XAUUSD,sell,low,4108.62000,4149.70620,2025-10-22T00:15:00.000Z,2025-10-22T05:35:00.000Z,4149.70620,4026.44760,0.11,-451.95,320,-410.86,1.00
14,XAUUSD,buy,low,4138.89000,4097.50110,2025-10-22T02:40:00.000Z,2025-10-22T07:10:00.000Z,4097.50110,4221.66780,0.12,-496.67,270,-413.89,1.00
15,XAUUSD,sell,low,4156.50000,4073.37000,2025-10-22T05:45:00.000Z,2025-10-22T07:15:00.000Z,4198.06500,4073.37000,0.12,997.56,90,831.30,2.00
16,XAUUSD,sell,low,4104.51000,4022.41980,2025-10-22T07:20:00.000Z,2025-10-22T10:00:00.000Z,4145.55510,4022.41980,0.12,985.08,160,820.90,2.00
17,XAUUSD,sell,low,4028.02000,4068.30020,2025-10-22T10:05:00.000Z,2025-10-22T12:10:00.000Z,4068.30020,3947.45960,0.14,-563.92,125,-402.80,1.00
19,XAUUSD,sell,low,4064.93000,4105.57930,2025-10-22T12:15:00.000Z,2025-10-22T18:30:00.000Z,4105.57930,3983.63140,0.13,-528.44,375,-406.49,1.00
