ticket,symbol,direction,strategy,entryPrice,exitPrice,entryTime,exitTime,sl,tp,volume,profit,durationMinutes,pips,riskReward
1,XAUUSD,buy,low,2659.83356,2633.23523,2024-11-01T05:15:00.000Z,2024-11-01T07:15:00.000Z,2633.23523,2739.62857,0.19,-505.37,120,-265.98,1.00
3,XAUUSD,sell,low,2663.81165,2690.44976,2024-11-01T12:55:00.000Z,2024-11-02T05:40:00.000Z,2690.44976,2583.89730,0.18,-479.49,1005,-266.38,1.00
2,XAUUSD,buy,low,2636.54922,2715.64570,2024-11-01T07:20:00.000Z,2024-11-04T00:55:00.000Z,2610.18373,2715.64570,0.18,1423.74,3935,790.96,3.00
4,XAUUSD,sell,low,2709.16597,2736.25763,2024-11-03T23:15:00.000Z,2024-11-04T13:35:00.000Z,2736.25763,2627.89099,0.17,-460.56,860,-270.92,1.00
6,XAUUSD,sell,low,2752.50419,2780.02923,2024-11-04T14:15:00.000Z,2024-11-04T17:20:00.000Z,2780.02923,2669.92906,0.18,-495.45,185,-275.25,1.00
5,XAUUSD,buy,low,2703.39495,2784.49680,2024-11-04T01:55:00.000Z,2024-11-04T17:25:00.000Z,2676.36100,2784.49680,0.19,1540.94,930,811.02,3.00
8,XAUUSD,sell,low,2787.02624,2814.89650,2024-11-04T19:30:00.000Z,2024-11-04T23:50:00.000Z,2814.89650,2703.41545,0.20,-557.41,260,-278.70,1.00
9,XAUUSD,sell,low,2815.34825,2843.50174,2024-11-05T01:50:00.000Z,2024-11-05T11:00:00.000Z,2843.50174,2730.88781,0.19,-534.92,550,-281.53,1.00
7,XAUUSD,buy,low,2786.94910,2759.07961,2024-11-04T18:45:00.000Z,2024-11-06T04:00:00.000Z,2759.07961,2870.55758,0.20,-557.39,1995,-278.69,1.00
10,XAUUSD,sell,low,2793.53175,2709.72580,2024-11-06T01:00:00.000Z,2024-11-06T10:15:00.000Z,2821.46707,2709.72580,0.18,1508.51,555,838.06,3.00
11,XAUUSD,buy,low,2721.00714,2693.79707,2024-11-06T09:50:00.000Z,2024-11-06T16:15:00.000Z,2693.79707,2802.63736,0.17,-462.57,385,-272.10,1.00
13,XAUUSD,buy,low,2701.18040,2674.16860,2024-11-06T18:10:00.000Z,2024-11-07T02:40:00.000Z,2674.16860,2782.21581,0.19,-513.22,510,-270.12,1.00
12,XAUUSD,sell,low,2724.08847,2642.36582,2024-11-06T12:30:00.000Z,2024-11-07T12:10:00.000Z,2751.32936,2642.36582,0.20,1634.45,1420,817.23,3.00
14,XAUUSD,buy,low,2663.16873,2636.53704,2024-11-07T13:30:00.000Z,2024-11-07T17:05:00.000Z,2636.53704,2743.06379,0.22,-585.90,215,-266.32,1.00
16,XAUUSD,buy,low,2677.43455,2650.66020,2024-11-07T23:35:00.000Z,2024-11-08T09:40:00.000Z,2650.66020,2757.75759,0.20,-535.49,605,-267.74,1.00
17,XAUUSD,buy,low,2648.46051,2621.97591,2024-11-08T15:10:00.000Z,2024-11-08T21:50:00.000Z,2621.97591,2727.91433,0.20,-529.69,400,-264.85,1.00
18,XAUUSD,buy,low,2619.50122,2593.30621,2024-11-09T09:45:00.000Z,2024-11-09T12:30:00.000Z,2593.30621,2698.08626,0.19,-497.71,165,-261.95,1.00
15,XAUUSD,sell,low,2664.63981,2584.70061,2024-11-07T13:45:00.000Z,2024-11-09T14:00:00.000Z,2691.28620,2584.70061,0.22,1758.66,2895,799.39,3.00
19,XAUUSD,sell,low,2610.11223,2636.21335,2024-11-09T15:05:00.000Z,2024-11-09T19:35:00.000Z,2636.21335,2531.80887,0.21,-548.12,270,-261.01,1.00
20,XAUUSD,buy,low,2631.93599,2605.61663,2024-11-10T08:20:00.000Z,2024-11-11T09:00:00.000Z,2605.61663,2710.89407,0.20,-526.39,1480,-263.19,1.00
22,XAUUSD,buy,low,2625.56588,2599.31022,2024-11-11T10:15:00.000Z,2024-11-11T17:50:00.000Z,2599.31022,2704.33286,0.19,-498.86,455,-262.56,1.00
21,XAUUSD,sell,low,2662.17150,2582.30635,2024-11-10T16:50:00.000Z,2024-11-12T00:15:00.000Z,2688.79321,2582.30635,0.20,1597.30,1885,798.65,3.00
