ticket,symbol,direction,strategy,entryPrice,exitPrice,entryTime,exitTime,sl,tp,volume,profit,durationMinutes,pips,riskReward
2,XAUUSD,sell,low,2647.67626,2674.15302,2023-11-01T02:50:00.000Z,2023-11-01T04:30:00.000Z,2674.15302,2568.24597,0.19,-503.06,100,-264.77,1.00
1,XAUUSD,buy,low,2657.84934,2631.27085,2023-11-01T00:40:00.000Z,2023-11-01T17:50:00.000Z,2631.27085,2737.58482,0.19,-504.99,1030,-265.78,1.00
4,XAUUSD,buy,low,2661.70432,2635.08728,2023-11-02T16:35:00.000Z,2023-11-02T17:55:00.000Z,2635.08728,2741.55545,0.17,-452.49,80,-266.17,1.00
5,XAUUSD,buy,low,2662.83898,2636.21059,2023-11-03T02:50:00.000Z,2023-11-03T07:30:00.000Z,2636.21059,2742.72415,0.16,-426.05,280,-266.28,1.00
3,XAUUSD,sell,low,2669.90490,2589.80775,2023-11-01T07:05:00.000Z,2023-11-03T14:35:00.000Z,2696.60394,2589.80775,0.18,1441.75,3330,800.97,3.00
6,XAUUSD,sell,low,2593.48067,2619.41548,2023-11-03T15:00:00.000Z,2023-11-03T21:30:00.000Z,2619.41548,2515.67625,0.18,-466.83,390,-259.35,1.00
8,XAUUSD,sell,low,2621.36091,2647.57452,2023-11-04T02:10:00.000Z,2023-11-04T05:35:00.000Z,2647.57452,2542.72008,0.17,-445.63,205,-262.14,1.00
9,XAUUSD,sell,low,2652.47309,2678.99782,2023-11-04T16:05:00.000Z,2023-11-06T02:20:00.000Z,2678.99782,2572.89890,0.16,-424.40,2055,-265.25,1.00
10,XAUUSD,sell,low,2659.01038,2685.60048,2023-11-06T04:15:00.000Z,2023-11-07T04:10:00.000Z,2685.60048,2579.24007,0.15,-398.85,1435,-265.90,1.00
7,XAUUSD,buy,low,2635.39187,2714.45363,2023-11-03T22:20:00.000Z,2023-11-07T19:30:00.000Z,2609.03795,2714.45363,0.17,1344.05,5590,790.62,3.00
11,XAUUSD,sell,low,2669.01345,2695.70359,2023-11-08T02:35:00.000Z,2023-11-09T11:30:00.000Z,2695.70359,2588.94305,0.17,-453.73,1975,-266.90,1.00
12,XAUUSD,buy,low,2636.84000,2715.94520,2023-11-08T14:30:00.000Z,2023-11-10T02:40:00.000Z,2610.47160,2715.94520,0.17,1344.79,2170,791.05,3.00
13,XAUUSD,sell,low,2694.61743,2721.56361,2023-11-09T14:15:00.000Z,2023-11-10T03:05:00.000Z,2721.56361,2613.77891,0.16,-431.14,770,-269.46,1.00
14,XAUUSD,buy,low,2721.75458,2694.53703,2023-11-10T03:05:00.000Z,2023-11-10T16:10:00.000Z,2694.53703,2803.40721,0.18,-489.92,785,-272.18,1.00
16,XAUUSD,buy,low,2657.51325,2630.93811,2023-11-11T01:15:00.000Z,2023-11-11T19:05:00.000Z,2630.93811,2737.23864,0.17,-451.78,1070,-265.75,1.00
15,XAUUSD,sell,low,2699.43285,2618.44987,2023-11-10T14:45:00.000Z,2023-11-11T20:25:00.000Z,2726.42718,2618.44987,0.18,1457.69,1780,809.83,3.00
18,XAUUSD,sell,low,2625.17666,2651.42843,2023-11-11T20:45:00.000Z,2023-11-12T00:15:00.000Z,2651.42843,2546.42136,0.19,-498.78,210,-262.52,1.00
17,XAUUSD,buy,low,2636.48631,2715.58090,2023-11-11T19:20:00.000Z,2023-11-12T23:20:00.000Z,2610.12144,2715.58090,0.16,1265.51,1680,790.95,3.00
19,XAUUSD,sell,low,2699.87442,2726.87316,2023-11-12T18:35:00.000Z,2023-11-13T07:00:00.000Z,2726.87316,2618.87818,0.18,-485.98,745,-269.99,1.00
21,XAUUSD,sell,low,2735.78156,2763.13937,2023-11-13T12:05:00.000Z,2023-11-13T18:20:00.000Z,2763.13937,2653.70811,0.19,-519.80,375,-273.58,1.00
22,XAUUSD,sell,low,2739.71409,2767.11123,2023-11-14T07:05:00.000Z,2023-11-14T10:15:00.000Z,2767.11123,2657.52267,0.18,-493.15,190,-273.97,1.00
23,XAUUSD,sell,low,2789.79717,2706.10325,2023-11-14T21:30:00.000Z,2023-11-17T03:30:00.000Z,2817.69514,2706.10325,0.17,1422.80,3240,836.94,3.00
20,XAUUSD,buy,low,2719.29778,2692.10480,2023-11-12T23:25:00.000Z,2023-11-17T08:35:00.000Z,2692.10480,2800.87671,0.20,-543.86,6310,-271.93,1.00
25,XAUUSD,buy,low,2695.34450,2668.39105,2023-11-17T08:45:00.000Z,2023-11-17T19:50:00.000Z,2668.39105,2776.20483,0.19,-512.12,665,-269.53,1.00
24,XAUUSD,sell,low,2705.19486,2732.24680,2023-11-17T03:35:00.000Z,2023-11-18T14:05:00.000Z,2732.24680,2624.03901,0.20,-541.04,2070,-270.52,1.00
26,XAUUSD,buy,low,2667.97281,2748.01200,2023-11-17T20:15:00.000Z,2023-11-19T04:40:00.000Z,2641.29309,2748.01200,0.18,1440.71,1945,800.39,3.00
27,XAUUSD,sell,low,2732.51702,2759.84219,2023-11-19T03:30:00.000Z,2023-11-19T06:50:00.000Z,2759.84219,2650.54151,0.17,-464.53,200,-273.25,1.00
29,XAUUSD,sell,low,2755.78676,2783.34463,2023-11-19T07:00:00.000Z,2023-11-20T03:10:00.000Z,2783.34463,2673.11316,0.19,-523.60,1210,-275.58,1.00
28,XAUUSD,buy,low,2745.79739,2718.33942,2023-11-19T04:55:00.000Z,2023-11-20T14:10:00.000Z,2718.33942,2828.17132,0.19,-521.70,1995,-274.58,1.00
30,XAUUSD,sell,low,2776.61994,2693.32134,2023-11-20T03:15:00.000Z,2023-11-20T16:55:00.000Z,2804.38614,2693.32134,0.17,1416.08,820,832.99,3.00
