ticket,symbol,direction,strategy,entryPrice,exitPrice,entryTime,exitTime,sl,tp,volume,profit,durationMinutes,pips,riskReward
1,XAUUSD,buy,low,2653.04675,2626.51628,2024-05-01T06:00:00.000Z,2024-05-01T08:40:00.000Z,2626.51628,2719.37292,0.19,-504.08,160,-265.30,1.00
2,XAUUSD,buy,low,2653.71708,2627.17991,2024-05-01T06:05:00.000Z,2024-05-01T08:40:00.000Z,2627.17991,2720.06000,0.19,-504.21,155,-265.37,1.00
3,XAUUSD,buy,low,2652.88440,2626.35556,2024-05-01T06:10:00.000Z,2024-05-01T08:40:00.000Z,2626.35556,2719.20651,0.19,-504.05,150,-265.29,1.00
4,XAUUSD,sell,low,2630.35430,2656.65785,2024-05-01T08:20:00.000Z,2024-05-01T14:25:00.000Z,2656.65785,2564.59545,0.19,-499.77,365,-263.04,1.00
7,XAUUSD,sell,low,2622.42351,2648.64774,2024-05-01T20:05:00.000Z,2024-05-01T22:10:00.000Z,2648.64774,2556.86292,0.15,-393.36,125,-262.24,1.00
6,XAUUSD,sell,low,2631.24399,2657.55643,2024-05-01T08:45:00.000Z,2024-05-03T01:30:00.000Z,2657.55643,2565.46289,0.16,-421.00,2445,-263.12,1.00
5,XAUUSD,sell,low,2631.50477,2657.81981,2024-05-01T08:25:00.000Z,2024-05-03T01:40:00.000Z,2657.81981,2565.71715,0.19,-499.99,2475,-263.15,1.00
8,XAUUSD,sell,low,2633.52944,2659.86473,2024-05-02T09:15:00.000Z,2024-05-03T01:40:00.000Z,2659.86473,2567.69120,0.14,-368.69,985,-263.35,1.00
10,XAUUSD,buy,low,2659.45379,2632.85925,2024-05-03T01:40:00.000Z,2024-05-03T15:15:00.000Z,2632.85925,2725.94013,0.12,-319.13,815,-265.95,1.00
9,XAUUSD,buy,low,2653.10413,2626.57309,2024-05-03T00:30:00.000Z,2024-05-03T17:05:00.000Z,2626.57309,2719.43173,0.14,-371.43,995,-265.31,1.00
11,XAUUSD,sell,low,2658.42336,2591.96278,2024-05-03T01:55:00.000Z,2024-05-03T21:00:00.000Z,2685.00759,2591.96278,0.12,797.53,1145,664.61,2.50
12,XAUUSD,sell,low,2655.83077,2589.43500,2024-05-03T02:00:00.000Z,2024-05-04T00:15:00.000Z,2682.38908,2589.43500,0.12,796.75,1335,663.96,2.50
14,XAUUSD,sell,low,2589.54865,2615.44414,2024-05-04T00:20:00.000Z,2024-05-04T05:30:00.000Z,2615.44414,2524.80993,0.14,-362.54,310,-258.95,1.00
17,XAUUSD,buy,low,2622.51466,2596.28951,2024-05-04T07:00:00.000Z,2024-05-04T09:25:00.000Z,2596.28951,2688.07753,0.13,-340.93,145,-262.25,1.00
18,XAUUSD,buy,low,2623.73101,2597.49370,2024-05-04T07:05:00.000Z,2024-05-04T09:25:00.000Z,2597.49370,2689.32429,0.13,-341.09,140,-262.37,1.00
13,XAUUSD,sell,low,2652.30825,2586.00054,2024-05-03T02:05:00.000Z,2024-05-04T09:55:00.000Z,2678.83133,2586.00054,0.12,795.69,1910,663.08,2.50
19,XAUUSD,sell,low,2586.41191,2612.27603,2024-05-04T10:00:00.000Z,2024-05-04T17:25:00.000Z,2612.27603,2521.75161,0.13,-336.23,445,-258.64,1.00
20,XAUUSD,buy,low,2598.07800,2572.09722,2024-05-04T11:15:00.000Z,2024-05-05T08:55:00.000Z,2572.09722,2663.02996,0.13,-337.75,1300,-259.81,1.00
21,XAUUSD,buy,low,2595.08494,2569.13409,2024-05-04T11:20:00.000Z,2024-05-05T09:00:00.000Z,2569.13409,2659.96206,0.13,-337.36,1300,-259.51,1.00
16,XAUUSD,sell,low,2617.39029,2551.95553,2024-05-04T05:35:00.000Z,2024-05-05T14:20:00.000Z,2643.56419,2551.95553,0.13,850.65,1965,654.35,2.50
25,XAUUSD,sell,low,2554.45697,2580.00154,2024-05-05T14:25:00.000Z,2024-05-05T20:00:00.000Z,2580.00154,2490.59554,0.13,-332.08,335,-255.45,1.00
22,XAUUSD,sell,low,2601.15755,2627.16913,2024-05-04T21:45:00.000Z,2024-05-06T00:15:00.000Z,2627.16913,2536.12862,0.13,-338.15,1590,-260.12,1.00
15,XAUUSD,sell,low,2608.16692,2634.24859,2024-05-04T05:15:00.000Z,2024-05-06T08:00:00.000Z,2634.24859,2542.96275,0.14,-365.14,3045,-260.82,1.00
23,XAUUSD,buy,low,2569.63811,2633.87906,2024-05-05T10:20:00.000Z,2024-05-06T08:00:00.000Z,2543.94173,2633.87906,0.12,770.89,1300,642.41,2.50
24,XAUUSD,buy,low,2569.93814,2634.18659,2024-05-05T10:25:00.000Z,2024-05-06T08:00:00.000Z,2544.23876,2634.18659,0.12,770.98,1295,642.48,2.50
28,XAUUSD,buy,low,2636.28171,2609.91889,2024-05-06T08:10:00.000Z,2024-05-06T15:20:00.000Z,2609.91889,2702.18875,0.14,-369.08,430,-263.63,1.00
