ticket,symbol,direction,strategy,entryPrice,exitPrice,entryTime,exitTime,sl,tp,volume,profit,durationMinutes,pips,riskReward
2,XAUUSD,sell,low,4006.56000,4046.62560,2025-11-18T04:01:00.000Z,2025-11-18T06:55:00.000Z,4046.62560,3906.39600,0.12,-480.79,174,-400.66,1.00
3,XAUUSD,sell,low,4006.48000,4046.54480,2025-11-18T04:02:00.000Z,2025-11-18T06:55:00.000Z,4046.54480,3906.31800,0.12,-480.78,173,-400.65,1.00
1,XAUUSD,sell,low,4008.34000,4048.42340,2025-11-18T04:00:00.000Z,2025-11-18T07:46:00.000Z,4048.42340,3908.13150,0.12,-481.00,226,-400.83,1.00
6,XAUUSD,sell,low,4045.08000,4085.53080,2025-11-18T06:56:00.000Z,2025-11-19T02:18:00.000Z,4085.53080,3943.95300,0.11,-444.96,1162,-404.51,1.00
8,XAUUSD,sell,low,4047.56000,4088.03560,2025-11-18T07:47:00.000Z,2025-11-19T02:18:00.000Z,4088.03560,3946.37100,0.11,-445.23,1111,-404.76,1.00
4,XAUUSD,buy,low,4007.46000,4107.64650,2025-11-18T04:03:00.000Z,2025-11-19T06:53:00.000Z,3967.38540,4107.64650,0.12,1202.24,1610,1001.86,2.50
5,XAUUSD,buy,low,4007.50000,4107.68750,2025-11-18T04:06:00.000Z,2025-11-19T06:53:00.000Z,3967.42500,4107.68750,0.12,1202.25,1607,1001.88,2.50
9,XAUUSD,sell,low,4086.60000,4127.46600,2025-11-19T02:19:00.000Z,2025-11-19T11:59:00.000Z,4127.46600,3984.43500,0.09,-367.79,580,-408.66,1.00
10,XAUUSD,sell,low,4091.06000,4131.97060,2025-11-19T02:25:00.000Z,2025-11-19T12:15:00.000Z,4131.97060,3988.78350,0.09,-368.20,590,-409.11,1.00
12,XAUUSD,buy,low,4124.19000,4082.94810,2025-11-19T11:56:00.000Z,2025-11-19T13:18:00.000Z,4082.94810,4227.29475,0.12,-494.90,82,-412.42,1.00
11,XAUUSD,buy,low,4121.83000,4080.61170,2025-11-19T11:55:00.000Z,2025-11-19T13:25:00.000Z,4080.61170,4224.87575,0.12,-494.62,90,-412.18,1.00
14,XAUUSD,sell,low,4053.49000,4094.02490,2025-11-19T23:17:00.000Z,2025-11-20T10:06:00.000Z,4094.02490,3952.15275,0.10,-405.35,649,-405.35,1.00
15,XAUUSD,sell,low,4051.20000,4091.71200,2025-11-19T23:18:00.000Z,2025-11-20T10:06:00.000Z,4091.71200,3949.92000,0.10,-405.12,648,-405.12,1.00
13,XAUUSD,sell,low,4131.58000,4028.29050,2025-11-19T12:16:00.000Z,2025-11-21T04:01:00.000Z,4172.89580,4028.29050,0.11,1136.18,2385,1032.89,2.50
19,XAUUSD,sell,low,4027.78000,4068.05780,2025-11-21T04:02:00.000Z,2025-11-21T09:45:00.000Z,4068.05780,3927.08550,0.11,-443.06,343,-402.78,1.00
20,XAUUSD,buy,low,4081.78000,4040.96220,2025-11-21T11:00:00.000Z,2025-11-23T23:54:00.000Z,4040.96220,4183.82450,0.10,-408.18,3654,-408.18,1.00
17,XAUUSD,sell,low,4102.46000,4143.48460,2025-11-20T11:49:00.000Z,2025-11-24T20:51:00.000Z,4143.48460,3999.89850,0.09,-369.22,6302,-410.25,1.00
