ticket,symbol,direction,strategy,entryPrice,exitPrice,entryTime,exitTime,sl,tp,volume,profit,durationMinutes,pips,riskReward
5,XAUUSD,sell,low,2675.50839,2702.26347,2023-01-01T08:45:00.000Z,2023-01-01T15:15:00.000Z,2702.26347,2595.24314,0.19,-508.35,390,-267.55,1.00
4,XAUUSD,sell,low,2677.57440,2704.35015,2023-01-01T08:40:00.000Z,2023-01-01T15:25:00.000Z,2704.35015,2597.24717,0.19,-508.74,405,-267.76,1.00
7,XAUUSD,sell,low,2700.77846,2727.78624,2023-01-01T15:35:00.000Z,2023-01-01T17:40:00.000Z,2727.78624,2619.75511,0.17,-459.13,125,-270.08,1.00
6,XAUUSD,sell,low,2703.29052,2730.32342,2023-01-01T15:30:00.000Z,2023-01-01T17:50:00.000Z,2730.32342,2622.19180,0.17,-459.56,140,-270.33,1.00
3,XAUUSD,buy,low,2685.06719,2658.21652,2023-01-01T05:05:00.000Z,2023-01-02T23:30:00.000Z,2658.21652,2765.61921,0.19,-510.16,2545,-268.51,1.00
10,XAUUSD,sell,low,2659.44673,2686.04120,2023-01-03T03:20:00.000Z,2023-01-03T06:15:00.000Z,2686.04120,2579.66333,0.14,-372.32,175,-265.94,1.00
11,XAUUSD,sell,low,2688.62412,2715.51036,2023-01-03T06:20:00.000Z,2023-01-03T12:20:00.000Z,2715.51036,2607.96539,0.13,-349.52,360,-268.86,1.00
8,XAUUSD,sell,low,2713.69876,2740.83574,2023-01-01T19:05:00.000Z,2023-01-03T18:20:00.000Z,2740.83574,2632.28779,0.15,-407.05,2835,-271.37,1.00
9,XAUUSD,sell,low,2715.18811,2742.33999,2023-01-01T19:10:00.000Z,2023-01-04T00:10:00.000Z,2742.33999,2633.73247,0.15,-407.28,3180,-271.52,1.00
12,XAUUSD,buy,low,2724.64850,2697.40201,2023-01-03T16:10:00.000Z,2023-01-04T06:45:00.000Z,2697.40201,2806.38795,0.13,-354.20,875,-272.46,1.00
15,XAUUSD,sell,low,2717.17792,2744.34970,2023-01-04T08:25:00.000Z,2023-01-04T10:15:00.000Z,2744.34970,2635.66258,0.10,-271.72,110,-271.72,1.00
14,XAUUSD,sell,low,2719.42950,2746.62380,2023-01-04T01:20:00.000Z,2023-01-04T10:25:00.000Z,2746.62380,2637.84662,0.11,-299.14,545,-271.94,1.00
13,XAUUSD,sell,low,2721.39477,2748.60872,2023-01-04T01:15:00.000Z,2023-01-04T10:30:00.000Z,2748.60872,2639.75293,0.11,-299.35,555,-272.14,1.00
2,XAUUSD,buy,low,2682.33290,2655.50957,2023-01-01T05:00:00.000Z,2023-01-05T07:15:00.000Z,2655.50957,2762.80288,0.19,-509.64,5895,-268.23,1.00
1,XAUUSD,buy,low,2675.09930,2648.34831,2023-01-01T04:55:00.000Z,2023-01-05T07:25:00.000Z,2648.34831,2755.35228,0.19,-508.27,5910,-267.51,1.00
16,XAUUSD,sell,low,2695.82611,2614.95132,2023-01-04T17:05:00.000Z,2023-01-05T09:55:00.000Z,2722.78437,2614.95132,0.09,727.87,1010,808.75,3.00
17,XAUUSD,sell,low,2689.45198,2608.76842,2023-01-04T17:20:00.000Z,2023-01-05T11:00:00.000Z,2716.34650,2608.76842,0.09,726.15,1060,806.84,3.00
18,XAUUSD,sell,low,2689.39788,2608.71595,2023-01-04T17:25:00.000Z,2023-01-05T11:00:00.000Z,2716.29186,2608.71595,0.09,726.14,1055,806.82,3.00
22,XAUUSD,buy,low,2609.11376,2583.02262,2023-01-05T19:05:00.000Z,2023-01-06T08:00:00.000Z,2583.02262,2687.38717,0.11,-287.00,775,-260.91,1.00
23,XAUUSD,buy,low,2608.13389,2582.05255,2023-01-05T19:10:00.000Z,2023-01-06T13:10:00.000Z,2582.05255,2686.37790,0.11,-286.89,1080,-260.81,1.00
20,XAUUSD,sell,low,2599.97859,2625.97838,2023-01-05T16:50:00.000Z,2023-01-08T02:40:00.000Z,2625.97838,2521.97924,0.11,-286.00,3470,-260.00,1.00
21,XAUUSD,sell,low,2600.19549,2626.19745,2023-01-05T16:55:00.000Z,2023-01-08T02:40:00.000Z,2626.19745,2522.18963,0.11,-286.02,3465,-260.02,1.00
19,XAUUSD,sell,low,2602.88832,2628.91721,2023-01-05T16:45:00.000Z,2023-01-08T12:55:00.000Z,2628.91721,2524.80167,0.11,-286.32,4090,-260.29,1.00
27,XAUUSD,sell,low,2609.90023,2635.99924,2023-01-08T03:50:00.000Z,2023-01-08T15:25:00.000Z,2635.99924,2531.60323,0.09,-234.89,695,-260.99,1.00
28,XAUUSD,buy,low,2631.89972,2605.58072,2023-01-08T14:55:00.000Z,2023-01-08T22:00:00.000Z,2605.58072,2710.85671,0.09,-236.87,425,-263.19,1.00
30,XAUUSD,sell,low,2590.92901,2616.83830,2023-01-09T00:05:00.000Z,2023-01-09T08:10:00.000Z,2616.83830,2513.20114,0.08,-207.27,485,-259.09,1.00
29,XAUUSD,sell,low,2593.71595,2619.65311,2023-01-09T00:00:00.000Z,2023-01-09T08:20:00.000Z,2619.65311,2515.90447,0.08,-207.50,500,-259.37,1.00
26,XAUUSD,sell,low,2615.63280,2641.78913,2023-01-08T03:45:00.000Z,2023-01-09T18:30:00.000Z,2641.78913,2537.16381,0.09,-235.41,2325,-261.56,1.00
24,XAUUSD,buy,low,2576.67384,2653.97405,2023-01-07T00:50:00.000Z,2023-01-09T20:30:00.000Z,2550.90710,2653.97405,0.10,773.00,4060,773.00,3.00
25,XAUUSD,buy,low,2580.71500,2658.13645,2023-01-07T00:55:00.000Z,2023-01-09T20:50:00.000Z,2554.90785,2658.13645,0.10,774.21,4075,774.21,3.00
32,XAUUSD,sell,low,2636.59412,2662.96006,2023-01-09T19:35:00.000Z,2023-01-09T21:50:00.000Z,2662.96006,2557.49630,0.06,-158.20,135,-263.66,1.00
33,XAUUSD,sell,low,2638.14258,2664.52401,2023-01-09T19:40:00.000Z,2023-01-09T21:50:00.000Z,2664.52401,2558.99831,0.06,-158.29,130,-263.81,1.00
31,XAUUSD,sell,low,2640.08981,2666.49070,2023-01-09T19:30:00.000Z,2023-01-09T21:55:00.000Z,2666.49070,2560.88711,0.06,-158.41,145,-264.01,1.00
36,XAUUSD,buy,low,2665.83665,2639.17828,2023-01-09T21:55:00.000Z,2023-01-10T02:10:00.000Z,2639.17828,2745.81175,0.08,-213.27,255,-266.58,1.00
34,XAUUSD,buy,low,2654.67213,2628.12541,2023-01-09T20:40:00.000Z,2023-01-10T03:05:00.000Z,2628.12541,2734.31229,0.08,-212.37,385,-265.47,1.00
35,XAUUSD,buy,low,2655.48482,2628.92998,2023-01-09T20:55:00.000Z,2023-01-10T03:05:00.000Z,2628.92998,2735.14937,0.09,-238.99,370,-265.55,1.00
39,XAUUSD,sell,low,2632.95318,2659.28271,2023-01-10T03:30:00.000Z,2023-01-11T01:40:00.000Z,2659.28271,2553.96458,0.07,-184.31,1330,-263.30,1.00
42,XAUUSD,buy,low,2661.34013,2634.72673,2023-01-11T02:20:00.000Z,2023-01-11T21:20:00.000Z,2634.72673,2741.18034,0.07,-186.29,1140,-266.13,1.00
41,XAUUSD,buy,low,2645.39225,2618.93833,2023-01-11T00:45:00.000Z,2023-01-12T02:30:00.000Z,2618.93833,2724.75402,0.07,-185.18,1545,-264.54,1.00
40,XAUUSD,buy,low,2626.86174,2600.59312,2023-01-10T20:15:00.000Z,2023-01-12T06:15:00.000Z,2600.59312,2705.66759,0.07,-183.88,2040,-262.69,1.00
43,XAUUSD,sell,low,2623.97787,2650.21765,2023-01-12T00:50:00.000Z,2023-01-13T14:15:00.000Z,2650.21765,2545.25853,0.07,-183.68,2245,-262.40,1.00
38,XAUUSD,sell,low,2659.87923,2686.47802,2023-01-09T22:05:00.000Z,2023-01-13T18:35:00.000Z,2686.47802,2580.08285,0.08,-212.79,5550,-265.99,1.00
37,XAUUSD,sell,low,2662.40744,2689.03151,2023-01-09T22:00:00.000Z,2023-01-13T18:45:00.000Z,2689.03151,2582.53522,0.08,-212.99,5565,-266.24,1.00
44,XAUUSD,buy,low,2614.58023,2693.01764,2023-01-12T02:45:00.000Z,2023-01-13T20:55:00.000Z,2588.43443,2693.01764,0.06,470.62,2530,784.37,3.00
46,XAUUSD,buy,low,2653.08235,2626.55152,2023-01-13T14:20:00.000Z,2023-01-14T08:30:00.000Z,2626.55152,2732.67482,0.05,-132.65,1090,-265.31,1.00
49,XAUUSD,sell,low,2688.97388,2608.30466,2023-01-13T21:00:00.000Z,2023-01-14T22:40:00.000Z,2715.86362,2608.30466,0.05,403.35,1540,806.69,3.00
47,XAUUSD,sell,low,2686.53119,2605.93525,2023-01-13T18:45:00.000Z,2023-01-14T22:45:00.000Z,2713.39650,2605.93525,0.05,402.98,1680,805.96,3.00
48,XAUUSD,sell,low,2686.57239,2605.97522,2023-01-13T18:50:00.000Z,2023-01-14T22:45:00.000Z,2713.43812,2605.97522,0.05,402.99,1675,805.97,3.00
45,XAUUSD,buy,low,2625.02937,2598.77908,2023-01-12T08:20:00.000Z,2023-01-14T23:05:00.000Z,2598.77908,2703.78026,0.06,-157.50,3765,-262.50,1.00
52,XAUUSD,sell,low,2578.93852,2604.72790,2023-01-15T01:55:00.000Z,2023-01-17T05:20:00.000Z,2604.72790,2501.57036,0.07,-180.53,3085,-257.89,1.00
51,XAUUSD,sell,low,2581.84438,2607.66283,2023-01-15T01:50:00.000Z,2023-01-17T07:50:00.000Z,2607.66283,2504.38905,0.07,-180.73,3240,-258.18,1.00
50,XAUUSD,sell,low,2582.42062,2608.24483,2023-01-15T01:40:00.000Z,2023-01-17T07:55:00.000Z,2608.24483,2504.94800,0.07,-180.77,3255,-258.24,1.00
53,XAUUSD,buy,low,2533.55221,2609.55877,2023-01-15T23:15:00.000Z,2023-01-17T10:30:00.000Z,2508.21668,2609.55877,0.08,608.05,2115,760.07,3.00
56,XAUUSD,buy,low,2611.77781,2585.66003,2023-01-17T10:35:00.000Z,2023-01-18T07:55:00.000Z,2585.66003,2690.13114,0.07,-182.82,1280,-261.18,1.00
55,XAUUSD,buy,low,2598.79068,2572.80277,2023-01-17T05:25:00.000Z,2023-01-18T10:05:00.000Z,2572.80277,2676.75440,0.07,-181.92,1720,-259.88,1.00
59,XAUUSD,sell,low,2568.93627,2594.62564,2023-01-18T13:25:00.000Z,2023-01-18T17:35:00.000Z,2594.62564,2491.86819,0.07,-179.83,250,-256.89,1.00
57,XAUUSD,sell,low,2610.66899,2636.77568,2023-01-17T10:45:00.000Z,2023-01-20T21:20:00.000Z,2636.77568,2532.34892,0.07,-182.75,4955,-261.07,1.00
58,XAUUSD,sell,low,2609.56252,2635.65814,2023-01-17T10:50:00.000Z,2023-01-20T21:20:00.000Z,2635.65814,2531.27564,0.08,-208.77,4950,-260.96,1.00
54,XAUUSD,buy,low,2567.78636,2644.81995,2023-01-16T09:25:00.000Z,2023-01-20T23:15:00.000Z,2542.10850,2644.81995,0.07,539.24,6590,770.34,3.00
61,XAUUSD,buy,low,2577.21172,2654.52808,2023-01-19T04:35:00.000Z,2023-01-21T12:20:00.000Z,2551.43961,2654.52808,0.07,541.21,3345,773.16,3.00
63,XAUUSD,sell,low,2627.82197,2654.10019,2023-01-20T21:40:00.000Z,2023-01-21T12:20:00.000Z,2654.10019,2548.98731,0.06,-157.67,880,-262.78,1.00
60,XAUUSD,buy,low,2579.02588,2656.39665,2023-01-19T04:30:00.000Z,2023-01-21T12:25:00.000Z,2553.23562,2656.39665,0.07,541.60,3355,773.71,3.00
62,XAUUSD,sell,low,2631.41182,2657.72593,2023-01-20T21:30:00.000Z,2023-01-21T12:40:00.000Z,2657.72593,2552.46946,0.06,-157.88,910,-263.14,1.00
