ticket,symbol,direction,strategy,entryPrice,exitPrice,entryTime,exitTime,sl,tp,volume,profit,durationMinutes,pips,riskReward
2,XAUUSD,buy,low,4340.40000,4296.99600,2025-10-21T01:50:00.000Z,2025-10-21T06:35:00.000Z,4296.99600,4470.61200,0.12,-520.85,285,-434.04,1.00
3,XAUUSD,buy,low,4303.40000,4260.36600,2025-10-21T06:45:00.000Z,2025-10-21T07:10:00.000Z,4260.36600,4432.50200,0.11,-473.37,25,-430.34,1.00
1,XAUUSD,sell,low,4346.01000,4215.62970,2025-10-21T00:30:00.000Z,2025-10-21T11:10:00.000Z,4389.47010,4215.62970,0.12,1564.56,640,1303.80,3.00
4,XAUUSD,buy,low,4265.11000,4222.45890,2025-10-21T07:15:00.000Z,2025-10-21T11:10:00.000Z,4222.45890,4393.06330,0.11,-469.16,235,-426.51,1.00
5,XAUUSD,buy,low,4230.63000,4188.32370,2025-10-21T11:15:00.000Z,2025-10-21T12:45:00.000Z,4188.32370,4357.54890,0.12,-507.68,90,-423.06,1.00
7,XAUUSD,buy,low,4175.22000,4133.46780,2025-10-21T13:00:00.000Z,2025-10-21T13:25:00.000Z,4133.46780,4300.47660,0.11,-459.27,25,-417.52,1.00
6,XAUUSD,sell,low,4222.18000,4095.51460,2025-10-21T11:20:00.000Z,2025-10-21T13:45:00.000Z,4264.40180,4095.51460,0.12,1519.98,145,1266.65,3.00
8,XAUUSD,buy,low,4113.42000,4072.28580,2025-10-21T13:45:00.000Z,2025-10-21T23:00:00.000Z,4072.28580,4236.82260,0.13,-534.74,555,-411.34,1.00
9,XAUUSD,sell,low,4128.97000,4005.10090,2025-10-21T14:00:00.000Z,2025-10-21T23:10:00.000Z,4170.25970,4005.10090,0.13,1610.30,550,1238.69,3.00
11,XAUUSD,sell,low,4074.93000,4115.67930,2025-10-21T23:55:00.000Z,2025-10-22T00:10:00.000Z,4115.67930,3952.68210,0.14,-570.49,15,-407.49,1.00
10,XAUUSD,buy,low,4053.07000,4012.53930,2025-10-21T23:15:00.000Z,2025-10-22T13:50:00.000Z,4012.53930,4174.66210,0.14,-567.43,875,-405.31,1.00
13,XAUUSD,buy,low,4038.60000,3998.21400,2025-10-27T07:15:00.000Z,2025-10-27T12:15:00.000Z,3998.21400,4159.75800,0.13,-525.02,300,-403.86,1.00
14,XAUUSD,buy,low,3981.51000,3941.69490,2025-10-27T13:15:00.000Z,2025-10-28T04:45:00.000Z,3941.69490,4100.95530,0.13,-517.60,930,-398.15,1.00
12,XAUUSD,sell,low,4040.62000,3919.40140,2025-10-27T06:50:00.000Z,2025-10-28T06:15:00.000Z,4081.02620,3919.40140,0.13,1575.84,1405,1212.19,3.00
15,XAUUSD,buy,low,3942.55000,3903.12450,2025-10-28T05:00:00.000Z,2025-10-28T06:40:00.000Z,3903.12450,4060.82650,0.12,-473.11,100,-394.25,1.00
16,XAUUSD,sell,low,3914.04000,3953.18040,2025-10-28T06:20:00.000Z,2025-10-28T12:50:00.000Z,3953.18040,3796.61880,0.14,-547.97,390,-391.40,1.00
17,XAUUSD,buy,low,3907.03000,4024.24090,2025-10-28T06:45:00.000Z,2025-10-29T07:45:00.000Z,3867.95970,4024.24090,0.14,1640.95,1500,1172.11,3.00
18,XAUUSD,buy,low,4026.45000,3986.18550,2025-10-29T08:45:00.000Z,2025-10-29T15:25:00.000Z,3986.18550,4147.24350,0.15,-603.97,400,-402.65,1.00
19,XAUUSD,sell,low,4025.17000,4065.42170,2025-10-29T08:50:00.000Z,2025-11-10T02:50:00.000Z,4065.42170,3904.41490,0.15,-603.78,16920,-402.52,1.00
21,XAUUSD,sell,low,4068.37000,4109.05370,2025-11-10T03:00:00.000Z,2025-11-10T15:15:00.000Z,4109.05370,3946.31890,0.13,-528.89,735,-406.84,1.00
20,XAUUSD,buy,low,4034.40000,4155.43200,2025-11-09T22:15:00.000Z,2025-11-12T12:10:00.000Z,3994.05600,4155.43200,0.14,1694.45,3715,1210.32,3.00
22,XAUUSD,sell,low,4113.34000,4154.47340,2025-11-10T15:30:00.000Z,2025-11-12T12:10:00.000Z,4154.47340,3989.93980,0.12,-493.60,2680,-411.33,1.00
24,XAUUSD,sell,low,4175.22000,4216.97220,2025-11-12T12:50:00.000Z,2025-11-13T01:05:00.000Z,4216.97220,4049.96340,0.13,-542.78,735,-417.52,1.00
23,XAUUSD,buy,low,4166.95000,4125.28050,2025-11-12T12:15:00.000Z,2025-11-14T09:10:00.000Z,4125.28050,4291.95850,0.13,-541.70,2695,-416.69,1.00
25,XAUUSD,sell,low,4212.71000,4086.32870,2025-11-13T01:15:00.000Z,2025-11-14T10:10:00.000Z,4254.83710,4086.32870,0.13,1642.96,1975,1263.81,3.00
26,XAUUSD,buy,low,4114.75000,4073.60250,2025-11-14T09:30:00.000Z,2025-11-14T10:20:00.000Z,4073.60250,4238.19250,0.12,-493.77,50,-411.48,1.00
28,XAUUSD,buy,low,4055.95000,4015.39050,2025-11-14T10:35:00.000Z,2025-11-17T16:45:00.000Z,4015.39050,4177.62850,0.14,-567.83,4690,-405.59,1.00
27,XAUUSD,sell,low,4076.94000,4117.70940,2025-11-14T10:15:00.000Z,2025-11-19T07:05:00.000Z,4117.70940,3954.63180,0.14,-570.77,7010,-407.69,1.00
