ticket,symbol,direction,strategy,entryPrice,exitPrice,entryTime,exitTime,sl,tp,volume,profit,durationMinutes,pips,riskReward
1,XAUUSD,sell,low,2670.60400,2697.31004,2024-10-01T05:20:00.000Z,2024-10-03T10:30:00.000Z,2697.31004,2590.48588,0.19,-507.41,3190,-267.06,1.00
3,XAUUSD,sell,low,2708.94744,2736.03691,2024-10-03T16:20:00.000Z,2024-10-03T18:00:00.000Z,2736.03691,2627.67902,0.18,-487.61,100,-270.89,1.00
2,XAUUSD,buy,low,2660.28265,2740.09113,2024-10-01T08:55:00.000Z,2024-10-03T18:05:00.000Z,2633.67982,2740.09113,0.19,1516.36,3430,798.08,3.00
4,XAUUSD,sell,low,2733.57557,2760.91132,2024-10-03T18:05:00.000Z,2024-10-04T00:35:00.000Z,2760.91132,2651.56830,0.19,-519.38,390,-273.36,1.00
5,XAUUSD,buy,low,2741.77484,2714.35709,2024-10-03T23:40:00.000Z,2024-10-04T04:30:00.000Z,2714.35709,2824.02808,0.19,-520.94,290,-274.18,1.00
7,XAUUSD,buy,low,2763.71257,2736.07544,2024-10-04T18:35:00.000Z,2024-10-05T02:05:00.000Z,2736.07544,2846.62394,0.17,-469.83,450,-276.37,1.00
8,XAUUSD,buy,low,2742.54773,2715.12226,2024-10-05T02:10:00.000Z,2024-10-05T20:00:00.000Z,2715.12226,2824.82416,0.16,-438.81,1070,-274.25,1.00
6,XAUUSD,sell,low,2763.95244,2791.59196,2024-10-04T02:45:00.000Z,2024-10-08T16:40:00.000Z,2791.59196,2681.03386,0.18,-497.51,6595,-276.40,1.00
10,XAUUSD,sell,low,2750.54615,2778.05161,2024-10-09T03:30:00.000Z,2024-10-09T12:25:00.000Z,2778.05161,2668.02977,0.15,-412.58,535,-275.05,1.00
9,XAUUSD,buy,low,2717.98614,2690.80627,2024-10-05T22:20:00.000Z,2024-10-10T20:55:00.000Z,2690.80627,2799.52572,0.16,-434.88,7115,-271.80,1.00
